total,recon,track,l2,conc,epoch,temperature
0.0005770406309903353,0.0005330930105368079,1.2419761033249265e-05,1.1208423453034176e-07,0.0,1.0,1.2
0.0005138377224418466,0.000416779206873187,1.2217915367804841e-05,2.313202365673458e-07,0.0,2.0,1.199122807017544
0.0004694561119860327,0.0003375455703549303,1.2027316406843165e-05,4.1963521249956353e-07,0.0,3.0,1.1982456140350877
0.00044077062022940944,0.0002893524937132603,1.1843747572804511e-05,6.738377850605183e-07,0.0,4.0,1.1973684210526316
0.0004288252119870753,0.0002746018084253562,1.1660932705352526e-05,9.877770933157535e-07,0.0,5.0,1.1964912280701754
0.0004229655248634193,0.0002714920447425193,1.1488725605024407e-05,1.3585375898984475e-06,0.0,6.0,1.1956140350877194
0.000417646759724192,0.0002693911888160185,1.1317975191949849e-05,1.7861125748203423e-06,0.0,7.0,1.194736842105263
0.0004134279829233903,0.00026927787771791083,1.1151470538254455e-05,2.273399515190909e-06,0.0,8.0,1.193859649122807
0.00040955405244248814,0.00026970536280913367,1.0987942104622611e-05,2.8200176843398524e-06,0.0,9.0,1.1929824561403508
0.00040582107567049364,0.00027033348129225035,1.082603713335025e-05,3.3982564873033525e-06,0.0,10.0,1.1921052631578948
0.000402486782506349,0.0002713954979812305,1.0671400038225068e-05,4.036306097975052e-06,0.0,11.0,1.1912280701754385
0.00039920321567903804,0.0002724588687819843,1.051876217672103e-05,4.728914560833822e-06,0.0,12.0,1.1903508771929825
0.00039574155322983615,0.00027311825640125367,1.0367078671291232e-05,5.454620221967097e-06,0.0,13.0,1.1894736842105262
0.00039268007544204965,0.00027441397831966605,1.0218675396773696e-05,6.199430271044398e-06,0.0,14.0,1.1885964912280702
0.0003899602566345332,0.0002760489962621983,1.007715001656953e-05,7.009779325897114e-06,0.0,15.0,1.187719298245614
0.00038732521815318843,0.00027793622848171933,9.933970101989705e-06,7.8531755662347e-06,0.0,16.0,1.186842105263158
0.00038387004518302737,0.00027792108072162403,9.79603028446136e-06,8.747052045969864e-06,0.0,17.0,1.1859649122807017
0.00038095165142255536,0.0002789175306038287,9.659327919998925e-06,9.68946694154491e-06,0.0,18.0,1.1850877192982456
0.00037807630213087867,0.00027992975618478064,9.524030860106983e-06,1.0649263515131253e-05,0.0,19.0,1.1842105263157894
0.0003752099043045767,0.0002807164134440539,9.39360210419647e-06,1.1643053442563834e-05,0.0,20.0,1.1833333333333333
0.00037255146549960603,0.0002819429968743004,9.262691834890292e-06,1.2669967756285073e-05,0.0,21.0,1.182456140350877
0.0003691264009845845,0.00028135964919696465,9.137313261933367e-06,1.3739316479594994e-05,0.0,22.0,1.181578947368421
0.0003664657247774365,0.0002822676410246756,9.012681615456237e-06,1.486159222153831e-05,0.0,23.0,1.1807017543859648
0.0003633904913667969,0.00028232833983603473,8.888412707792043e-06,1.599771680991837e-05,0.0,24.0,1.1798245614035088
0.00036060232567360165,0.00028275914638081,8.768223468971045e-06,1.7168842053318927e-05,0.0,25.0,1.1789473684210525
0.0003578726940044891,0.0002832674924743322,8.64882140761015e-06,1.8409807645036186e-05,0.0,26.0,1.1780701754385965
0.0003548940003142779,0.0002831561445947598,8.531851787568596e-06,1.9635716252819446e-05,0.0,27.0,1.1771929824561402
0.0003519000913006467,0.000282933453392884,8.416497503962032e-06,2.0920504046590148e-05,0.0,28.0,1.1763157894736842
0.00034927801969700337,0.0002834165659349245,8.301900212311836e-06,2.223108540096059e-05,0.0,29.0,1.175438596491228
0.00034618396155749136,0.00028280563959323315,8.190301596277477e-06,2.3598702601268046e-05,0.0,30.0,1.174561403508772
0.0003440108145373027,0.00028395332221359216,8.080368578128268e-06,2.493892061887855e-05,0.0,31.0,1.1736842105263157
0.00034073512855467374,0.00028281630963135693,7.972025105043167e-06,2.634166448933156e-05,0.0,32.0,1.1728070175438596
0.00033822304158017823,0.0002831178848487391,7.865453873936754e-06,2.7751343880043933e-05,0.0,33.0,1.1719298245614034
0.00033560975733199237,0.0002831314121258801,7.760592191086221e-06,2.9245541763425187e-05,0.0,34.0,1.1710526315789473
0.0003329944231083683,0.00028312168450209726,7.656110576049787e-06,3.081449309153025e-05,0.0,35.0,1.170175438596491
0.00033045710407736824,0.0002832707051200678,7.551576669589102e-06,3.233661122950255e-05,0.0,36.0,1.169298245614035
0.00032812332033369516,0.0002835898085232275,7.451782024354535e-06,3.386349814884942e-05,0.0,37.0,1.1684210526315788
0.00032552146120768506,0.00028330535978883623,7.353331210664768e-06,3.54980531909797e-05,0.0,38.0,1.1675438596491228
0.00032312826805843726,0.000283490101693587,7.253842369271993e-06,3.7166064104974634e-05,0.0,39.0,1.1666666666666665
0.0003205031937207369,0.0002830868144481047,7.156836137212645e-06,3.888811950292419e-05,0.0,40.0,1.1657894736842105
0.0003181134564042023,0.00028314692444340097,7.059976832628363e-06,4.057273831160707e-05,0.0,41.0,1.1649122807017545
0.0003158543642535852,0.0002832993997969644,6.966496569866642e-06,4.2252226213841836e-05,0.0,42.0,1.1640350877192982
0.0003136222080718001,0.000283418214340195,6.874759511939383e-06,4.410703240186512e-05,0.0,43.0,1.1631578947368422
0.0003112376908780953,0.00028338359018584036,6.779996425361972e-06,4.598435491480492e-05,0.0,44.0,1.162280701754386
0.00030898947950916297,0.00028342379152145183,6.689190146347003e-06,4.7828707640485024e-05,0.0,45.0,1.1614035087719299
0.00030689483149962495,0.00028372423308797325,6.599319001571065e-06,4.974157096089023e-05,0.0,46.0,1.1605263157894736
0.0003045734091919971,0.00028352059563583297,6.510456249815138e-06,5.1705034355850556e-05,0.0,47.0,1.1596491228070176
0.0003024005262281857,0.0002834435162266027,6.425007018547115e-06,5.359844160886395e-05,0.0,48.0,1.1587719298245613
0.000300276220595586,0.0002834655079923496,6.339512566102385e-06,5.565000603907389e-05,0.0,49.0,1.1578947368421053
0.0002984371107037302,0.00028409284144364507,6.253319062994034e-06,5.771287429334932e-05,0.0,50.0,1.157017543859649
0.00029606520593345364,0.0002834982958565564,6.170254610851175e-06,5.969610440955372e-05,0.0,51.0,1.156140350877193
0.0002941019660586842,0.0002836457916098325,6.0886879943806194e-06,6.187130136599775e-05,0.0,52.0,1.1552631578947368
0.00029196432906329514,0.0002835547538636624,6.004914610709165e-06,6.409006529481303e-05,0.0,53.0,1.1543859649122807
0.0002904079018796114,0.00028439423646804874,5.925778584920844e-06,6.631646826780342e-05,0.0,54.0,1.1535087719298245
0.00028807686877343574,0.0002838040814843405,5.844251193894316e-06,6.855339022593839e-05,0.0,55.0,1.1526315789473685
0.0002860456315724159,0.00028354415929777505,5.768109835389548e-06,7.08041885745609e-05,0.0,56.0,1.1517543859649122
0.0002842344964897629,0.0002838990290781565,5.6884713454262e-06,7.319669064045433e-05,0.0,57.0,1.1508771929824562
0.0002823797728389489,0.00028391968910856285,5.613778243076219e-06,7.547043901110066e-05,0.0,58.0,1.15
0.00028040481065500254,0.0002836115288300488,5.540849758245821e-06,7.780394066824803e-05,0.0,59.0,1.1491228070175439
0.0002787347512304059,0.0002839436585603663,5.467307048391455e-06,8.024860519551045e-05,0.0,60.0,1.1482456140350876
0.0002769358372608973,0.0002840745053553063,5.392631218528881e-06,8.280719686602416e-05,0.0,61.0,1.1473684210526316
