ticker,hard_weight,soft_weight
RELIANCE.NS,0.11682318796376033,0.075066938996315
TCS.NS,0.10937821258323943,0.030262621119618416
INFY.NS,0.1076499956028181,0.049217674881219864
HDFCBANK.NS,0.10709712664662752,0.10727229714393616
ITC.NS,0.10108500374112477,0.026302769780158997
LT.NS,0.10095051434483887,0.020169734954833984
KOTAKBANK.NS,0.09806669668304402,0.032179854810237885
ICICIBANK.NS,0.09033770501521489,0.04776648059487343
SBIN.NS,0.08692078213522446,0.020113369449973106
AXISBANK.NS,0.08169077528410755,0.02167860046029091
HINDUNILVR.NS,0.0,0.018288640305399895
BAJFINANCE.NS,0.0,0.017516203224658966
MARUTI.NS,0.0,0.014683492481708527
HCLTECH.NS,0.0,0.018088486045598984
SUNPHARMA.NS,0.0,0.013480796478688717
TITAN.NS,0.0,0.014977021142840385
ASIANPAINT.NS,0.0,0.01770719327032566
BHARTIARTL.NS,0.0,0.017408298328518867
ULTRACEMCO.NS,0.0,0.015579997561872005
NTPC.NS,0.0,0.013162825256586075
WIPRO.NS,0.0,0.016819775104522705
BAJAJFINSV.NS,0.0,0.01717439293861389
ONGC.NS,0.0,0.01323195081204176
NESTLEIND.NS,0.0,0.014852723106741905
POWERGRID.NS,0.0,0.013994797132909298
M&M.NS,0.0,0.014638461172580719
TMPV.NS,0.0,0.01220940425992012
ADANIENT.NS,0.0,0.01060994528234005
ADANIPORTS.NS,0.0,0.013005219399929047
COALINDIA.NS,0.0,0.012666010297834873
TATASTEEL.NS,0.0,0.01315257977694273
JSWSTEEL.NS,0.0,0.01345487404614687
TECHM.NS,0.0,0.016406403854489326
CIPLA.NS,0.0,0.013355757109820843
GRASIM.NS,0.0,0.013700248673558235
HDFCLIFE.NS,0.0,0.014419080689549446
SBILIFE.NS,0.0,0.013901574537158012
BRITANNIA.NS,0.0,0.015109472908079624
BPCL.NS,0.0,0.013360629789531231
HEROMOTOCO.NS,0.0,0.013091661036014557
EICHERMOT.NS,0.0,0.014028712175786495
DRREDDY.NS,0.0,0.013472975231707096
DIVISLAB.NS,0.0,0.012356355786323547
APOLLOHOSP.NS,0.0,0.012071117758750916
INDUSINDBK.NS,0.0,0.015602318570017815
BAJAJ-AUTO.NS,0.0,0.013676013797521591
TATACONSUM.NS,0.0,0.012755697593092918
HINDALCO.NS,0.0,0.012696410529315472
BEL.NS,0.0,0.01141147967427969
TRENT.NS,0.0,0.011850611306726933
