method,n_holdings,tracking_error_ann,mad_daily,r_squared,corr,active_return_ann,port_vol_ann,index_vol_ann,port_max_drawdown,index_max_drawdown
full_universe_ls,48.0,0.015463316725538946,0.0007263026497221989,0.993170180509903,0.9967730742655594,0.05811547526307254,0.1926006399807002,0.1922869858434104,-0.3813005776056754,-0.38439852452742107
greedy_forward,10.0,0.0367163186077665,0.0017726733184375229,0.9632464119418478,0.9818720361461114,0.05226691267739526,0.19323986883816577,0.1922869858434104,-0.3760140914079103,-0.38439852452742107
icsae_sparse,10.0,0.046719178710092416,0.002162517700554316,0.9407619364043096,0.9741810268833567,0.04375459887348281,0.2045865534644056,0.1922869858434104,-0.40103610758458863,-0.38439852452742107
pca_quad,10.0,0.07075172927397876,0.00328166535818448,0.8642160958050659,0.9465874947495094,0.060850082448088656,0.2160974274182489,0.1922869858434104,-0.40857640825709296,-0.38439852452742107
pca_equal,10.0,0.07819384609987876,0.003565646427563338,0.8341442393974341,0.940722507995374,0.0675470441137107,0.2240246762765623,0.1922869858434104,-0.42343463548987603,-0.38439852452742107
high_corr_quad,10.0,0.07996307389013403,0.003556720357529609,0.8266975266783733,0.9535541773598418,0.058607983319437756,0.23848547441345624,0.1922869858434104,-0.4451299099915207,-0.38439852452742107
random_equal,10.0,0.09530800619214361,0.004407676785589633,0.7532896360751571,0.9035020756065366,0.09823164771864125,0.2216068567777635,0.1922869858434104,-0.43310722464557305,-0.38439852452742107
high_corr_equal,10.0,0.0956751434201715,0.004197485547478356,0.7519737526867214,0.9388596781824664,0.06515533119302415,0.24960081489478594,0.1922869858434104,-0.4572475995313001,-0.38439852452742107
low_vol_equal,10.0,0.10256411488588497,0.004709509288649793,0.7153504980938247,0.8473598966192237,0.03657936529795528,0.15327479903766175,0.1922869858434104,-0.24766888683803612,-0.38439852452742107
